"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"210030 Aldeias Altas";-;-;-;2;7;-;-;-;-;-;-;-;9
"210043 Alto Alegre do Maranhão";-;5;44;5;-;-;-;-;-;-;-;-;54
"210047 Alto Alegre do Pindaré";-;-;3;1;2;-;-;-;-;-;-;-;6
"210050 Alto Parnaíba";-;1;-;1;2;3;-;-;-;-;-;-;7
"210060 Amarante do Maranhão";-;2;3;11;10;23;-;-;1;-;-;-;50
"210080 Anapurus";3;2;13;41;4;-;1;-;-;-;-;-;64
"210090 Araioses";-;-;-;-;1;-;3;-;-;-;-;-;4
"210095 Arame";-;-;-;-;2;-;2;-;-;-;-;-;4
"210100 Arari";-;-;1;-;-;-;-;-;-;-;-;-;1
"210110 Axixá";-;-;-;-;2;-;-;-;-;-;-;-;2
"210120 Bacabal";-;-;2;2;1;-;-;-;-;-;-;-;5
"210125 Bacabeira";-;3;4;12;4;-;-;-;-;-;-;-;23
"210140 Balsas";-;4;-;51;113;43;3;5;2;3;-;-;224
"210150 Barão de Grajaú";-;-;-;-;-;1;8;4;1;-;-;-;14
"210160 Barra do Corda";137;47;32;56;82;38;46;25;18;11;27;9;528
"210180 Benedito Leite";-;1;2;3;2;1;-;-;-;-;-;-;9
"210200 Bom Jardim";-;-;1;1;-;-;-;-;-;-;-;-;2
"210220 Buriti";-;-;3;2;-;-;-;-;-;-;-;-;5
"210235 Buritirana";-;-;2;1;-;-;-;-;-;-;-;-;3
"210255 Campestre do Maranhão";-;3;20;62;40;9;1;-;-;-;-;-;135
"210270 Cantanhede";-;-;-;-;-;1;-;-;-;-;-;-;1
"210275 Capinzal do Norte";-;-;6;2;4;2;-;-;-;-;-;-;14
"210280 Carolina";-;1;2;-;1;1;-;1;-;-;5;-;11
"210290 Carutapera";-;-;2;12;-;-;-;-;-;1;-;-;15
"210300 Caxias";1;1;52;50;41;21;15;3;2;2;-;-;188
"210317 Centro Novo do Maranhão";-;-;-;1;-;-;-;-;-;-;-;-;1
"210320 Chapadinha";-;2;6;13;1;-;-;-;-;-;-;-;22
"210325 Cidelândia";4;4;2;10;3;1;-;-;-;-;-;-;24
"210330 Codó";-;-;2;1;1;-;-;-;1;2;-;-;7
"210340 Coelho Neto";-;-;2;-;2;-;-;-;-;-;-;-;4
"210350 Colinas";-;1;-;9;71;53;17;3;1;2;-;-;157
"210360 Coroatá";1;-;-;3;-;-;-;-;-;-;-;-;4
"210370 Cururupu";-;-;1;-;2;-;-;-;-;-;-;-;3
"210380 Dom Pedro";-;1;6;5;13;4;-;-;-;3;-;-;32
"210390 Duque Bacelar";-;-;-;6;4;-;-;-;-;-;-;-;10
"210400 Esperantinópolis";1;-;-;-;1;-;-;1;-;-;-;-;3
"210405 Estreito";-;7;5;10;4;3;1;-;-;-;-;-;30
"210407 Feira Nova do Maranhão";1;2;1;1;4;91;46;4;-;1;6;3;160
"210408 Fernando Falcão";1;-;-;-;-;-;-;-;-;-;-;-;1
"210409 Formosa da Serra Negra";-;2;18;26;64;21;3;-;-;1;-;3;138
"210410 Fortaleza dos Nogueiras";-;1;-;4;1;1;1;-;-;-;5;9;22
"210420 Fortuna";-;-;-;43;-;-;-;-;-;-;-;-;43
"210430 Godofredo Viana";-;-;-;-;-;1;-;-;-;-;-;-;1
"210440 Gonçalves Dias";-;-;7;1;-;-;-;-;-;-;-;-;8
"210455 Governador Edison Lobão";15;21;30;13;8;2;4;-;-;-;-;7;100
"210462 Governador Luiz Rocha";-;-;1;-;-;-;-;-;-;-;-;-;1
"210465 Governador Newton Bello";2;1;-;-;-;-;-;-;-;-;-;-;3
"210480 Grajaú";-;1;1;2;2;-;-;-;-;-;-;-;6
"210500 Humberto de Campos";-;-;1;-;-;-;-;1;1;-;1;-;4
"210515 Igarapé do Meio";-;-;1;1;-;-;-;-;-;-;-;1;3
"210520 Igarapé Grande";-;6;30;14;3;3;-;-;-;-;-;-;56
"210530 Imperatriz";9;9;38;46;24;15;11;7;2;2;1;-;164
"210535 Itaipava do Grajaú";1;-;3;-;-;-;-;-;1;-;-;-;5
"210540 Itapecuru Mirim";-;4;20;17;13;1;-;1;-;-;-;-;56
"210542 Itinga do Maranhão";1;-;6;5;5;-;-;-;-;-;1;-;18
"210545 Jatobá";-;1;2;-;-;-;-;-;-;-;-;-;3
"210547 Jenipapo dos Vieiras";7;5;5;-;-;-;-;-;-;-;-;-;17
"210550 João Lisboa";-;1;3;1;1;-;-;-;-;-;-;-;6
"210560 Joselândia";-;-;1;6;1;-;-;-;-;-;-;-;8
"210570 Lago da Pedra";1;1;3;1;-;4;-;2;-;-;-;1;13
"210580 Lago do Junco";-;-;-;-;-;-;3;4;4;1;1;-;13
"210596 Lagoa Grande do Maranhão";5;8;-;4;12;10;2;-;1;-;-;1;43
"210598 Lajeado Novo";-;-;3;2;1;-;-;-;-;-;-;-;6
"210600 Lima Campos";-;-;2;-;-;-;-;-;-;-;-;-;2
"210630 Magalhães de Almeida";-;-;-;1;2;-;-;-;-;-;-;-;3
"210632 Maracaçumé";1;2;7;8;3;-;-;-;-;-;-;-;21
"210640 Mata Roma";1;-;2;13;-;-;-;-;-;-;-;-;16
"210660 Matões";-;2;3;3;4;3;5;1;4;-;-;1;26
"210690 Monção";-;-;-;-;-;-;-;-;1;-;-;-;1
"210700 Montes Altos";-;4;9;4;3;2;-;-;-;-;-;-;22
"210725 Nova Colinas";-;-;1;7;-;-;-;-;-;-;-;-;8
"210730 Nova Iorque";-;-;-;-;1;2;-;-;-;-;-;-;3
"210740 Olho d'Água das Cunhãs";1;2;17;14;-;-;-;-;-;-;-;-;34
"210750 Paço do Lumiar";-;-;-;7;3;1;2;3;2;-;-;-;18
"210770 Paraibano";1;2;-;1;49;8;2;-;-;-;-;-;63
"210790 Passagem Franca";-;-;-;-;-;-;1;-;-;-;-;-;1
"210800 Pastos Bons";-;-;1;-;-;-;-;-;-;-;-;-;1
"210805 Paulino Neves";-;1;2;-;-;-;-;-;-;-;-;-;3
"210810 Paulo Ramos";-;-;-;-;3;-;4;-;-;-;-;-;7
"210820 Pedreiras";-;1;-;2;1;-;-;-;-;-;-;-;4
"210825 Pedro do Rosário";-;-;-;1;-;-;-;-;-;-;-;-;1
"210845 Peritoró";-;1;-;5;1;2;5;-;-;-;-;-;14
"210850 Pindaré-Mirim";-;-;-;1;-;-;-;-;-;-;-;-;1
"210860 Pinheiro";-;-;2;-;2;3;1;-;-;-;2;-;10
"210870 Pio XII";-;1;2;7;1;-;-;-;-;-;-;-;11
"210880 Pirapemas";-;-;-;-;-;2;-;-;-;-;-;-;2
"210890 Poção de Pedras";-;5;19;8;8;6;-;-;-;-;-;1;47
"210900 Porto Franco";1;1;-;2;3;-;-;-;-;-;-;-;7
"210910 Presidente Dutra";9;25;24;12;6;-;-;1;-;-;-;-;77
"210927 Presidente Sarney";-;-;-;3;1;-;-;-;5;67;22;-;98
"210950 Riachão";1;-;2;-;-;-;-;1;5;-;-;-;9
"210955 Ribamar Fiquene";-;-;1;-;-;-;-;-;-;-;-;-;1
"210970 Sambaíba";-;-;-;-;-;1;-;-;-;-;-;-;1
"210975 Santa Filomena do Maranhão";2;36;-;-;-;-;-;-;-;-;-;-;38
"210980 Santa Helena";-;2;4;1;-;-;-;-;-;-;-;-;7
"210990 Santa Inês";7;11;6;6;2;-;-;-;1;1;-;2;36
"211000 Santa Luzia";-;2;-;-;-;-;-;-;-;-;-;-;2
"211003 Santa Luzia do Paruá";-;33;33;-;1;-;-;1;-;-;-;-;68
"211040 São Benedito do Rio Preto";-;-;-;-;1;-;1;-;-;-;-;-;2
"211060 São Bernardo";-;-;-;-;1;-;-;-;-;-;-;-;1
"211070 São Domingos do Maranhão";-;1;4;6;-;1;-;1;1;-;-;-;14
"211085 São Francisco do Brejão";-;-;4;5;1;-;1;-;-;-;-;-;11
"211090 São Francisco do Maranhão";-;1;1;5;2;1;3;37;25;-;-;-;75
"211105 São João do Paraíso";1;4;2;5;24;7;-;-;-;1;-;-;44
"211110 São João dos Patos";-;-;1;10;5;7;-;1;1;-;-;-;25
"211120 São José de Ribamar";-;1;3;6;3;1;-;-;1;1;1;-;17
"211125 São José dos Basílios";3;5;32;13;6;-;-;-;-;-;-;-;59
"211130 São Luís";47;65;124;218;303;160;136;133;72;61;34;36;1389
"211140 São Luís Gonzaga do Maranhão";-;-;12;3;-;-;-;-;-;-;-;-;15
"211150 São Mateus do Maranhão";-;1;1;6;19;4;2;-;-;-;1;-;34
"211153 São Pedro da Água Branca";-;1;17;25;-;-;-;-;-;-;-;-;43
"211157 São Pedro dos Crentes";-;7;2;4;115;182;23;20;8;-;-;-;361
"211160 São Raimundo das Mangabeiras";-;8;6;7;-;1;-;-;-;-;-;-;22
"211163 São Raimundo do Doca Bezerra";-;1;-;-;-;-;-;-;-;-;-;-;1
"211167 São Roberto";1;2;4;1;-;-;-;-;-;-;-;-;8
"211172 Satubinha";-;-;-;-;-;1;1;1;1;-;-;-;4
"211176 Senador La Rocque";-;2;5;7;6;-;-;-;-;-;-;-;20
"211180 Sítio Novo";1;3;6;22;6;7;4;18;7;1;-;1;76
"211195 Sucupira do Riachão";-;-;-;-;-;-;-;1;3;-;-;-;4
"211200 Tasso Fragoso";-;-;-;1;-;-;-;-;-;-;1;1;3
"211220 Timon";-;-;2;2;3;1;-;1;-;-;-;-;9
"211227 Tufilândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"211230 Tuntum";1;23;11;18;1;1;-;-;-;-;-;-;55
"211245 Turilândia";-;-;19;6;-;-;-;-;-;-;-;-;25
"211250 Tutóia";-;-;4;2;-;-;-;-;-;-;-;-;6
"211260 Urbano Santos";-;-;-;2;11;-;-;-;-;-;-;-;13
"211270 Vargem Grande";-;1;-;-;-;-;1;-;-;-;-;-;2
"211280 Viana";-;1;3;2;1;-;-;-;-;-;1;-;8
"211285 Vila Nova dos Martírios";-;1;3;6;-;-;-;-;-;-;-;-;10
"211300 Vitorino Freire";-;-;-;-;1;-;-;1;-;-;-;-;2
"211400 Zé Doca";3;9;3;5;-;5;2;-;-;-;-;-;27
"Total";272;416;796;1054;1162;762;361;282;172;161;109;76;5623
